nu2B	nu1B	Ts	Tg	nu2F	nu1F	theta	log-likelihood	Nancestral	nonNorth_B	North_B	Ts_gens	Tg_gens	nonNorth_F	North_F
0.0970910857575365	0.0550523912039814	0.0198222791343501	0.0010272094841025	0.0274148489751258	0.0398651583054219	98197.20263148438	-4394.132565856043	12780.218605466067	703.5815943405196	1240.8453006233694	506.66612119112585	26.25592352087594	509.4854378848031	350.3677629379451
0.0255167070088713	0.3155926027370119	0.0142450377508354	0.0092394186783138	0.153435341927013	0.0560946059875637	86451.45308323584	-104622.38381596254	11251.526922923771	3550.8986663710757	287.1019158946731	320.55685154317996	207.91513602242497	631.149969499874	1726.3818806198012
0.2334823860448925	0.1589171682073564	0.0489628043661708	0.0037739243711665	0.3227075747108247	0.3626987671323745	87266.15251740001	-4744.800371586738	11357.558832055052	1804.9110873386392	2651.789935753456	1112.1958623423736	85.72513614649978	4119.372586019778	3665.1702653279926
0.0425283460190323	0.0606929302443654	0.0323502679200253	0.0099	0.0411954287003989	0.330286230732518	119326.7149394902	-105579.58592114862	15530.192933519063	942.572916395609	660.473418819029	1004.8118044980507	307.4978200836775	5129.408886560798	639.7729556962233
0.097099903587474	0.1028919748573406	0.0197842646108051	0.0084143692380582	0.164516016619797	0.1133246757188951	91699.31396244874	-11656.647561102664	11934.528143428093	1227.9671696678272	1158.841532088863	472.23172558936386	200.84305296160238	1352.476531712016	1963.4210303936513
0.0967334741854243	0.0322499864517725	0.0118108192105923	0.0038818853061811	0.1584766581229718	0.4964349259459882	96604.14649691152	-2735.6647373450533	12572.884739479825	405.4753625079216	1216.2188213827867	296.9921372272222	97.61299305299063	6241.619104571112	1992.5087564780736
0.2189309843425712	0.3186454761611479	0.0554670599589733	0.0099	0.0846284623146191	0.0287468451743981	89333.22721568757	-11783.943932795037	11626.585502978494	3704.7588737248816	2545.41980871015	1289.7850304236758	230.20639295897422	334.22765336102424	983.9400530865122
0.0869114745424644	0.0344077036449655	0.0149858122179564	0.0010367062696128	0.1148613155391849	0.0815338169692054	100122.77879649943	-5273.835110116149	13030.829454562465	448.36091812067275	1132.528602407401	390.55512650057665	27.018285187600103	1062.4532637052266	1496.738213717804
0.2180936747280149	0.0340119875854393	0.0375574172610879	0.0099	0.0414358904456783	0.0676698119744011	114361.79901350042	-100289.96911396	14884.016574198164	506.23498694310075	3246.109869379557	1118.010441996217	294.7035281691237	1007.1986029998593	616.7324801601352
0.1491564998188271	0.1146637215647697	0.0583533631199125	0.0014864345674172	0.1331424834624239	0.1347268377227318	99705.68915034676	-19626.033019240764	12976.545862840287	1487.939041689183	1935.5361606397387	1514.450185553035	38.57757267240092	1748.28898866447	1727.7295429425983
0.1739090816437903	0.0490470240694516	0.0446441658304912	0.0022240894565198	0.0928356972505476	0.1085991975274999	108410.08071697204	-51212.537418593485	14109.40936676844	692.0245408176374	2453.754425510992	1259.805623080592	62.76117722070279	1532.270534818043	1309.8568563573554
0.3799488496980316	0.0665488365232059	0.0335136022158245	0.0099	0.0472993280431905	0.0493953636475202	99703.28535447126	-19911.94358258995	12976.233012413302	863.5532094301204	4930.304806480058	869.7606228757389	256.9294136457834	640.9657484231116	613.7671020190148
0.0486218574204427	0.1134843711090435	0.0195749969787057	0.0099	0.1777778687052233	0.3821526073366327	91563.69199036068	-46951.80179166107	11916.877147223095	1352.3793086363453	579.4207015492133	466.5456683049982	235.9541675150173	4554.065673121639	2118.5570208553036
0.3750503004458453	0.237935445816192	0.0487844226135784	0.0099	0.025930833927888	0.1092811843415083	85699.23368696791	-12432.855226440108	11153.626696991128	2653.8431406159652	4183.171043767324	1088.2464769202115	220.84180860042437	1218.8815351502558	289.2228415733349
0.0415344411556797	0.1315852493993973	0.0947521066619982	0.001967552597567	0.0420770459193999	0.0316977969564234	128309.59408191044	-305344.77076406154	16699.301177645397	2197.381710256119	693.5961421038854	3164.5879327301773	65.71350681925972	529.331058043166	702.6572624736741
0.3235690226107232	0.0776354110191158	0.0343099108629278	0.007763845148271	0.2626932387319271	0.0795249646817861	93835.80493347826	-7499.672755428064	12212.589238109493	948.1293851082606	3951.615563321325	838.025696330176	189.633303408246	971.2057278338185	3208.164620261661
0.2008538698766828	0.0575340747659086	0.0371792646352628	0.0010416245335969	0.3116501117421131	0.1769859508306742	100253.4722095892	-17516.682538973197	13047.83900620774	750.6953449166946	2620.7089579247554	970.2181186602038	27.181898438577154	2309.284192799236	4066.360484277744
0.3254765212996171	0.1259796389815081	0.0933442110030235	0.0020907716212717	0.2182390177980991	0.3729913243649064	95041.976866377	-27382.53996319049	12369.570705657745	1558.314051855001	4026.004843247133	2309.2556359314694	51.72389479740593	4613.742559328632	2699.5229613868855
0.1485924322993977	0.228175470239295	0.0563092195856359	0.0014929203865765	0.0386486825420858	0.1561163542688199	86673.31174558152	-26535.074295743387	11280.401494992131	2573.9109156078757	1676.1822954546428	1270.381209591295	33.68148272128356	1761.055156086717	435.9726563272209
0.3502593331069014	0.3070096993245334	0.0603505573200303	0.0088279676352924	0.2377044429121758	0.061468968065599	82222.27883699158	-8059.9225144748125	10701.106239450257	3285.343409013512	3748.1623349359484	1291.6354509833532	188.93803908738485	657.78595769935	2543.7004971925317
0.3197234319772119	0.1604609804692352	0.0528041155888496	0.0021366256177788	0.0367367232644375	0.0282479726529935	88927.31920663109	-1665.272545757857	11573.757184549511	1857.13642554567	3700.4013679150835	1222.2840243404619	49.45757218891985	326.9351764415416	425.18191481859066
