nu2B	nu1B	Ts	Tg	nu2F	nu1F	theta	log-likelihood	Nancestral	nonNorth_B	North_B	Ts_gens	Tg_gens	nonNorth_F	North_F
0.0419961412123883	0.1453792763107645	0.0956571499507946	0.0014853113587034	0.079190787496364	0.025949916945569	135013.31508313926	-220157.6225199805	17571.780408925337	2554.572719341235	737.9469714063067	3361.732866958012	52.19913006803735	455.986242197389	1391.5231282959785
0.0777791127658534	0.1391509819924412	0.0488081015659054	0.0099	0.1231918537125347	0.0399772346028324	117322.8115275829	-52718.08149604085	15269.387910747435	2124.7503222040154	1187.6394441755835	1490.5396719939376	302.33388063279926	610.4279027496032	1881.0642017807438
0.1395212165901442	0.2533093268701338	0.0676122494131872	0.0010055236968813	0.0879724158019056	0.0318329492497639	96267.72344458818	-9009.068593209196	12529.099783927213	3173.7378325553414	1748.0752446328374	1694.2412390271934	25.196613466658377	398.83819756698284	1102.2151758152104
0.2842990223736784	0.1855829542041956	0.0197374720052591	0.0063043928307994	0.0991371781671349	0.2182899100011353	86757.94162905468	-46551.34889180046	11291.41594736305	2095.4943286600005	3210.1385150498763	445.72801232162874	142.37104349625923	2464.802170935264	1119.399114532959
0.0277203163589161	0.0541434206906734	0.0290049184494058	0.0099	0.0692134113340907	0.114118542140756	139391.3054086642	-117259.34797341596	18141.569281860957	982.2466176167954	502.8900397403801	1052.3894751292448	359.203071780847	2070.289438591494	1255.6398969513468
0.0595252332290662	0.0316343927392359	0.0428387025473384	0.0099	0.3482882484640819	0.0293379265541527	157969.8170631294	-279056.261470938	20559.53470190782	650.3883952961013	1223.8110982121432	1761.4875832134219	407.0787870977749	603.1741190721253	7160.644330563986
0.0269863582795964	0.1843795464104247	0.0223780565084219	0.0012596933088843	0.1005319396662936	0.222151501194526	94669.06950859058	-29470.91117976418	12321.037372483454	2271.74728204439	332.4999289101355	551.4417411276256	31.041456673261607	2737.1369485710575	1238.6577857566551
0.068938375131711	0.0513537877834902	0.0536595903117625	0.0012738231513814	0.136240371430007	0.0659171987657519	142803.89616382428	-155373.61984596925	18585.712849021544	954.4467534535394	1281.2688444761084	1994.6034742611123	47.349822624020796	1225.118128072142	2532.124421842149
0.1406520831607536	0.0978958966533982	0.0130982522893158	0.0099	0.0495353441513272	0.2550345065602277	94843.71924569696	-16951.833560509032	12343.767773755508	1208.4042142931164	1736.1766514312899	323.3635690027514	244.40660192035907	3148.086723273776	611.4527847970411
0.0373525545461925	0.0676212882128797	0.099	0.0015684109824001	0.1048609802132919	0.0866025907791783	179033.74604651952	-374561.78671031765	23300.973458651242	1575.641841888116	870.3508820936541	4613.592744812946	73.0910053463237	2017.9246691960684	2443.3629167980675
0.069971045530927	0.0494662396047517	0.099	0.0016027191040257	0.0254343915564723	0.0447723438319674	175802.25965381303	-349605.2735459236	22880.40035256832	1131.8073660927898	1600.965534835396	4530.319269808528	73.34170950563521	1024.4091515982568	581.9490615360695
0.3801669903750755	0.1890598776799011	0.099	0.0020816885491006	0.0354897066941792	0.0926717028625638	96875.20057885796	-48502.82369757273	12608.162021605465	2383.697569573104	4793.207009915078	2496.4160802778824	52.49253301116234	1168.4198445092834	447.45997209946745
0.0446461521304631	0.2075597432256982	0.01723018116385	0.00670618841723	0.1601685875786459	0.0945128084275245	92906.63423995677	-4185.471588572	12091.659066304479	2509.741650974843	539.8460501839231	416.68295256787104	162.1778879510904	1142.816656904575	1936.7039541325169
0.1398986798450319	0.2366142990545598	0.032289487128681	0.0041892111871089	0.0273608838735384	0.0300244754732435	94736.33378056412	-7592.557486928672	12329.79171656987	2917.405024504897	1724.9215839123344	796.2453018630008	103.3042027875543	370.1955289843529	337.35399934198387
0.0539365729336688	0.0721370412952172	0.0793675654309059	0.0034360055114809	0.1139653040781074	0.0255690865205948	158567.63693256417	-218255.06463931213	20637.340061055784	1488.7166522078212	1113.10739736006	3275.870875231401	141.8200283841865	527.6779335760725	2351.94073542153
0.1817622995021485	0.0761647804391334	0.099	0.0099	0.0833443666362866	0.0660709085039623	131273.91560742172	-206416.8419690163	17085.103177067893	1301.2831322613165	3105.427640695323	3382.850429059443	338.2850429059443	1128.8282887928083	1423.9471032083313
0.1355294028301985	0.0947586409310215	0.0311201708791372	0.0080493089790317	0.0801935261295512	0.1001514547218023	106196.91651178776	-35027.09382209999	13821.369365688215	1309.69417689827	1873.201936427323	860.2467528877787	222.5049450754956	1384.2302482210287	1108.3843453734964
0.032557066816308	0.369307665009817	0.0100178462273082	0.0065103488165936	0.0586326820753112	0.0919903363424062	86131.6119978638	-13839.433480969554	11209.900085493337	4139.902025566892	364.96146608754333	224.5981105599226	145.96071951144808	1031.2024792293	657.2665078087347
0.1848379624581717	0.1515852773438082	0.0367855699656417	0.0099	0.1784862009477104	0.0287464745603643	103989.30674783431	-45542.976321513095	13534.052266801324	2051.563066448675	2501.6066447979565	995.7156531581436	267.9742348826662	389.05628918624507	2415.6415725291163
0.1758192866931391	0.0707034847190775	0.0309579801342058	0.0019266187809531	0.3378537827211262	0.0728572039761847	105035.20849093769	-63694.55041835479	13670.174809587623	966.5289957567967	2403.4803839922142	846.4020003726683	52.67443105412696	995.9707144922272	4618.52026987823
0.1974448177547554	0.1005924513759558	0.099	0.0047082320797119	0.2578753993853707	0.0419226399421229	120430.45737191108	-142400.60522057797	15673.843355246505	1576.6703255869818	3094.71914479323	3103.420984338808	147.5921841951016	657.0888914912347	4041.898615137931
